siteid,station name,station contry,total samples,imbalance degree,weight factor,f1,recall,precision,f2,roc_auc,accuracy,log_loss
415702,Gänserndorf,Austria,7616,2.7097,2.7097,0.8368,0.858,0.8167,0.8494,0.9675,0.9097,0.2131
415704,DOÑANA,Spain,2216,2.7623,2.7623,0.7458,0.7432,0.7483,0.7442,0.9303,0.8649,0.4636
415705,AT30202,Austria,7649,2.2315,2.2315,0.8396,0.8801,0.8028,0.8634,0.9664,0.896,0.2273
415706,Sion,Switzerland,1077,5.4107,2,0.65,0.619,0.6842,0.6311,0.9235,0.8963,0.2338
415707,Chilbolton Observatory - UKA00614,United Kingdom of Great Britain and Northern Ireland,280,27,3,0,0,0,0,0.8856,0.9286,0.2377
415708,Galway Mace Head,Ireland,7941,12.235,4,0.5576,0.6133,0.5111,0.5897,0.9261,0.9265,0.1727
415709,Lampedusa,Italy,427,1.1139,1.1139,0.7965,0.8824,0.7258,0.8459,0.8279,0.785,0.4724
415712,Illmitz,Austria,7903,2.1486,2.1486,0.8456,0.8868,0.8081,0.8698,0.9627,0.8973,0.2383
415713,Schorfheide,Germany,1587,3.4958,3.4958,0.8372,0.8182,0.8571,0.8257,0.9689,0.9295,0.2915
Mean,,,,,,0.713631868,0.725615934,0.708908242,0.720017582,0.944695055,0.910305495,0.239156593
Median,,,,,,0.74645,0.7647,0.74275,0.75,0.9489,0.91335,0.2219
